local-authority-code,mapit-area-code
WYE,DIS
WYR,DIS
WYO,DIS
WYC,DIS
WRX,
WOT,DIS
WOR,CTY
WOC,DIS
WOK,UTA
WOI,DIS
WRL,MTD
WIN,DIS
WIL,UTA
WGN,MTD
WEY,DIS
WYCA,
WSX,CTY
WSK,DIS
WSO,DIS
WOX,DIS
WECA,
WNT,
WMCA,
WLN,
WLI,DIS
WLA,DIS
WDU,
WDO,DIS
WDE,DIS
WBK,UTA
WEW,DIS
WEL,DIS
WEA,DIS
WAE,DIS
WAV,DIS
WAT,DIS
WAR,CTY
WAW,DIS
WRT,UTA
WLL,MTD
WKF,MTD
VAL,DIS
VGL,
UTT,DIS
TUN,DIS
TRF,MTD
TOR,DIS
TOF,
TOB,UTA
TON,DIS
THR,UTA
THE,DIS
MRY,
HLD,
THA,DIS
TEW,DIS
TES,DIS
TEN,DIS
TFW,UTA
TEI,DIS
TVCA,
TAU,DIS
TAN,DIS
TAW,DIS
TAM,MTD
SWD,UTA
SWL,DIS
SUR,DIS
SRY,CTY
SND,MTD
SFK,CTY
SUF,DIS
STO,DIS
STR,DIS
NIR-J,
STE,UTA
STT,UTA
SKP,MTD
STG,
STV,DIS
STF,DIS
STS,CTY
STA,DIS
SHN,MTD
SED,DIS
SAL,DIS
SPE,DIS
SOS,UTA
STH,UTA
STY,MTD
SST,DIS
SSO,DIS
SRI,DIS
SOX,DIS
SNR,DIS
SNO,DIS
SLK,
SLA,DIS
SKE,DIS
SHO,DIS
SHA,DIS
SGC,UTA
SDE,DIS
SCA,DIS
SBU,DIS
SAY,
SWT,DIS
SOM,CTY
SOL,MTD
SLG,UTA
SHR,UTA
ZET,
SCR,
SHF,MTD
SEV,DIS
SEL,DIS
SFT,MTD
SEG,DIS
SCB,
SCE,DIS
SAW,MTD
SLF,MTD
RYE,DIS
RUT,UTA
RUH,DIS
RUS,DIS
RUN,DIS
RUG,DIS
WNM,UTA
KTT,LBO
KEC,LBO
GRE,LBO
ROT,MTD
ROH,DIS
ROS,DIS
ROC,DIS
RCH,MTD
RIH,DIS
RIB,DIS
RCT,
RFW,
REI,DIS
RED,DIS
RCC,UTA
RDG,UTA
PUR,DIS
PRE,DIS
POW,
POR,UTA
PLY,UTA
PTE,UTA
PKN,
PEN,DIS
PEM,
OXF,CTY
OXO,DIS
ORK,
NIR-K,
OLD,MTD
OAD,DIS
NUN,DIS
NTT,CTY
NGM,UTA
NOW,DIS
NBL,UTA
NTH,CTY
NOR,DIS
NYK,CTY
NWL,DIS
NWA,DIS
NTY,MTD
NSM,UTA
NTCA,
NNT,
NNO,DIS
NLN,UTA
NLK,
NKE,DIS
NHE,DIS
NEL,UTA
NED,DIS
NECA,
NIR-W,
NDO,DIS
NDE,DIS
NAY,
NFK,CTY
NIR-U,
NMD,
NIR-P,
NWP,
NEC,DIS
NET,MTD
NEA,DIS
NEW,DIS
NTL,
NIR-E,
MON,
MOL,DIS
MIK,UTA
MLN,
MDB,UTA
MUL,
MSS,DIS
MSU,DIS
MDE,DIS
MEA,
MTY,
MEN,DIS
MEL,DIS
MDW,UTA
MAS,DIS
MAN,MTD
MAV,DIS
MAL,DIS
MAI,DIS
NIR-H,
LUT,UTA
WND,LBO
WFT,LBO
TWH,LBO
STN,LBO
SWK,LBO
RIC,LBO
RDB,LBO
NWM,LBO
MRT,LBO
LEW,LBO
LBH,LBO
ISL,LBO
HNS,LBO
HIL,LBO
HAV,LBO
HRW,LBO
HRY,LBO
HMF,LBO
HCK,LBO
