local-authority-code,mapit-area-code
ENF,LBO
EAL,LBO
CRY,LBO
CMD,LBO
BRY,LBO
BEN,LBO
BEX,LBO
BNE,LBO
BDG,LBO
LCR,
LIV,MTD
NIR-S,
LBC,
LIN,CTY
NIR-B,
LIF,DIS
LEE,DIS
LEC,CTY
LCE,UTA
LDS,MTD
NIR-F,
LAC,DIS
LAN,CTY
KWL,MTD
KIR,MTD
KET,DIS
KEN,CTY
IOW,UTA
AGY,
IPS,DIS
IVC,
HYN,DIS
HUN,DIS
KHL,UTA
HOR,DIS
HIN,DIS
HIG,DIS
HER,DIS
HRT,CTY
HEF,UTA
HAA,DIS
HAS,DIS
HPL,UTA
HAT,DIS
HAG,DIS
HAR,DIS
HAO,DIS
HAM,CTY
HAE,DIS
HAL,UTA
GWN,
GRT,DIS
GMCA,
GLA,
GRY,DIS
GRA,DIS
GOS,DIS
GLS,CTY
GLO,DIS
GLG,
GED,DIS
GAT,MTD
FYL,DIS
FOE,DIS
FOR,DIS
SHE,DIS
FLN,
FIF,
NIR-L,
FMO,
FEN,DIS
FAR,DIS
FAL,
EXE,DIS
ESS,CTY
ERE,DIS
EPS,DIS
EPP,DIS
ELM,DIS
EDN,DIS
EAT,DIS
EAS,DIS
ESX,CTY
ESK,DIS
EST,DIS
ERY,UTA
ERW,
ENO,DIS
ELN,
ELI,DIS
EHE,DIS
EHA,DIS
EDU,
EDO,DIS
EDE,DIS
ECA,DIS
EAY,
DUR,UTA
NIR-M,
DND,
DGY,
DUD,MTD
NIR-R,
DOV,DIS
DOR,CTY
DST,UTA
DNC,MTD
DEV,CTY
NIR-A,
DRS,
DEB,DIS
DBY,CTY
DER,UTA
DEN,
DAV,DIS
DAR,DIS
DAL,UTA
DAC,DIS
CMA,CTY
CRW,DIS
CRA,DIS
NIR-N,
COV,MTD
IOS,COI
COT,DIS
CON,UTA
COR,DIS
COP,DIS
NIR-I,
CWY,
ELS,
NIR-C,
COL,DIS
CLK,
YOR,UTA
WLV,MTD
WSM,LBO
LND,LBO
LIC,DIS
EDH,
CRF,
BRD,MTD
SWA,
CHC,DIS
CHO,DIS
CHN,DIS
CHI,DIS
CHS,DIS
CHW,UTA
CHE,UTA
CHR,DIS
CHT,DIS
CHL,DIS
CHA,DIS
CGN,
CBF,UTA
CCG,
NIR-Y,
CAS,DIS
NIR-V,
CMN,
CAR,DIS
CAT,DIS
CAN,DIS
CAM,CTY
CPCA,
CAB,DIS
CLD,MTD
CAY,
BUR,MTD
BUN,DIS
BKM,CTY
BUC,
BRT,DIS
BRX,DIS
BRM,DIS
BRO,DIS
BST,UTA
BNH,UTA
BGE,
BRW,DIS
BRE,DIS
BRA,DIS
BRC,UTA
BPC,DIS
BMH,UTA
BOT,DIS
POL,UTA
KIN,DIS
BOL,MTD
BOS,DIS
BGW,
BPL,UTA
BBD,UTA
BLA,DIS
BIR,MTD
BFS,
BDF,UTA
BAS,UTA
BAE,DIS
BAN,DIS
BAI,DIS
BAR,DIS
BNS,MTD
NIR-Q,
NIR-D,
NIR-G,
BAB,DIS
AYL,DIS
ASF,DIS
ASH,DIS
ARU,DIS
ABC,
NIR-O,
AGB,
NIR-X,
AND,
NIR-T,
ANN,
ANS,
AMB,DIS
ALL,DIS
ADU,DIS
ABD,
ABE,
