gss-code,local-authority-code
N09000002,ABC
S12000034,ABD
S12000033,ABE
E07000223,ADU
S12000035,AGB
W06000001,AGY
E07000026,ALL
E07000032,AMB
N09000011,AND
N09000001,ANN
S12000041,ANS
E07000224,ARU
E07000105,ASF
E07000170,ASH
E07000004,AYL
E07000200,BAB
E07000171,BAE
E07000066,BAI
E07000084,BAN
E07000027,BAR
E06000022,BAS
E06000008,BBD
E06000055,BDF
E09000002,BDG
E09000005,BEN
E09000004,BEX
N09000003,BFS
W06000013,BGE
W06000019,BGW
E08000025,BIR
E10000002,BKM
E07000129,BLA
E06000028,BMH
E09000003,BNE
E06000043,BNH
E08000016,BNS
E08000001,BOL
E07000033,BOS
E07000136,BOT
E06000058,BPC
E06000009,BPL
E07000067,BRA
E06000036,BRC
E08000032,BRD
E07000143,BRE
E07000234,BRM
E07000144,BRO
E07000172,BRT
E07000068,BRW
E07000095,BRX
E09000006,BRY
E06000023,BST
E06000060,BUC
E07000117,BUN
E08000002,BUR
E07000008,CAB
E10000003,CAM
E07000192,CAN
E07000028,CAR
E07000069,CAS
E07000106,CAT
W06000018,CAY
E06000056,CBF
N09000004,CCG
W06000008,CGN
E07000130,CHA
E07000048,CHC
E06000049,CHE
E07000225,CHI
E07000070,CHL
E07000005,CHN
E07000118,CHO
E07000177,CHR
E07000034,CHS
E07000078,CHT
E06000050,CHW
E08000033,CLD
S12000005,CLK
E10000006,CMA
E09000007,CMD
W06000010,CMN
E07000071,COL
E06000052,CON
E07000029,COP
E07000150,COR
E07000079,COT
E08000026,COV
E47000008,CPCA
E07000163,CRA
W06000015,CRF
E07000226,CRW
E09000008,CRY
W06000003,CWY
E07000096,DAC
E06000005,DAL
E07000107,DAR
E07000151,DAV
E10000007,DBY
E07000035,DEB
W06000004,DEN
E06000015,DER
E10000008,DEV
S12000006,DGY
E08000017,DNC
S12000042,DND
E10000009,DOR
E07000108,DOV
N09000005,DRS
E06000059,DST
E08000027,DUD
E06000047,DUR
E09000009,EAL
E07000061,EAS
E07000086,EAT
S12000008,EAY
E07000009,ECA
E07000040,EDE
S12000036,EDH
E07000030,EDN
E07000049,EDO
S12000045,EDU
S12000009,EDU
E07000085,EHA
E07000242,EHE
E07000097,EHE
E07000137,ELI
E07000207,ELM
S12000010,ELN
S12000013,ELS
E09000010,ENF
E07000152,ENO
E07000072,EPP
E07000208,EPS
E07000036,ERE
S12000011,ERW
E06000011,ERY
E07000244,ESK
E10000012,ESS
E07000193,EST
E10000011,ESX
E07000041,EXE
S12000014,FAL
E07000087,FAR
E07000010,FEN
S12000047,FIF
S12000015,FIF
W06000005,FLN
N09000006,FMO
E07000080,FOE
E07000201,FOR
E07000119,FYL
E08000037,GAT
E08000020,GAT
E07000173,GED
E12000007,GLA
S12000049,GLG
S12000046,GLG
S12000043,GLG
E07000081,GLO
E10000013,GLS
E47000001,GMCA
E07000088,GOS
E07000109,GRA
E09000011,GRE
E07000209,GRT
E07000145,GRY
W06000002,GWN
E07000090,HAA
E07000164,HAE
E07000165,HAG
E06000006,HAL
E10000014,HAM
E07000131,HAO
E07000073,HAR
E07000062,HAS
E07000089,HAT
E09000016,HAV
E09000012,HCK
E06000019,HEF
E07000098,HER
E07000037,HIG
E09000017,HIL
E07000132,HIN
S12000017,HLD
E09000013,HMF
E09000018,HNS
