local-authority-code,BS-6879
CAT,CAT
CAN,CAN
CAM,CAM
CPCA,CPCA
CAB,CAB
CLD,CLD
CAY,CAY
BUR,BUR
BUN,BUN
BKM,BKM
BUC,BUC
BRT,BRT
BRX,BRX
BRM,BRM
BRO,BRO
BST,BST
BNH,BNH
BGE,BGE
BRW,BRW
BRE,BRE
BRA,BRA
BRC,BRC
BPC,BPC
BMH,BMH
BOT,BOT
POL,POL
KIN,KIN
BOL,BOL
BOS,BOS
BGW,BGW
BPL,BPL
BBD,BBD
BLA,BLA
BIR,BIR
BFS,BFS
BDF,BDF
BAS,BAS
BAE,BAE
BAN,BAN
BAI,BAI
BAR,BAR
BNS,BNS
NIR-Q,NIR-Q
NIR-D,NIR-D
NIR-G,NIR-G
BAB,BAB
AYL,AYL
ASF,ASF
ASH,ASH
ARU,ARU
ABC,ABC
NIR-O,NIR-O
AGB,AGB
NIR-X,NIR-X
AND,AND
NIR-T,NIR-T
ANN,ANN
ANS,ANS
AMB,AMB
ALL,ALL
ADU,ADU
ABD,ABD
ABE,ABE
SMT,
