local-authority-code,BS-6879
WYE,WYE
WYR,WYR
WYO,WYO
WYC,WYC
WRX,WRX
WOT,WOT
WOR,WOR
WOC,NTCA
WOK,WOK
WOI,WOI
WRL,WRL
WIN,WIN
WIL,WIL
WGN,WGN
WEY,WEY
WYCA,WYCA
WSX,WSX
WSK,WSK
WSO,WSO
WOX,WOX
WECA,WECA
WNT,
WMCA,WMCA
WLN,WLN
WLI,WLI
WLA,WLA
WDU,WDU
WDO,WDO
WDE,WDE
WBK,WBK
WEW,WEW
WEL,WEL
WEA,WEA
WAE,WAE
WAV,WAV
WAT,WAT
WAR,WAR
WAW,WAW
WRT,WRT
WLL,WLL
WKF,WKF
VAL,VAL
VGL,VGL
UTT,UTT
TUN,TUN
TRF,TRF
TOR,TOR
TOF,TOF
TOB,TOB
TON,TON
THR,THR
THE,THE
MRY,MRY
HLD,HLD
THA,THA
TEW,TEW
TES,TES
TEN,TEN
TFW,TFW
TEI,TEI
TVCA,TVCA
TAU,TAU
TAN,TAN
TAW,TAW
TAM,TAM
SWD,SWD
SWL,SWL
SUR,SUR
SRY,SRY
SND,SND
SFK,SFK
SUF,SUF
STO,STO
STR,STR
NIR-J,NIR-J
STE,STE
STT,STT
SKP,SKP
STG,STG
STV,STV
STF,STF
STS,STS
STA,STA
SHN,SHN
SED,SED
SAL,SAL
SPE,SPE
SOS,SOS
STH,STH
STY,STY
SST,SST
SSO,SSO
SRI,SRI
SOX,SOX
SNR,SNR
SNO,SNO
SLK,SLK
SLA,SLA
SKE,SKE
SHO,SHO
SHA,SHA
SGC,SGC
SDE,SDE
SCA,SCA
SBU,SBU
SAY,SAY
SWT,SWT
SOM,SOM
SOL,SOL
SLG,SLG
SHR,SHR
ZET,ZET
SCR,SCR
SHF,SHF
SEV,SEV
SEL,SEL
SFT,SFT
SEG,SEG
SCB,SCB
SCE,SCE
SAW,SAW
SLF,SLF
RYE,RYE
RUT,RUT
RUH,RUH
RUS,RUS
RUN,RUN
RUG,RUG
WNM,WYCA
KTT,KTT
KEC,KEC
GRE,GRE
ROT,ROT
ROH,ROH
ROS,ROS
ROC,ROC
RCH,RCH
RIH,RIH
RIB,RIB
RCT,RCT
RFW,RFW
REI,REI
RED,RED
RCC,RCC
RDG,RDG
PUR,PUR
PRE,PRE
POW,POW
POR,POR
PLY,PLY
PTE,PTE
PKN,PKN
PEN,PEN
PEM,PEM
OXF,OXF
OXO,OXO
ORK,ORK
NIR-K,NIR-K
OLD,OLD
OAD,OAD
NUN,NUN
NTT,NTT
NGM,NGM
NOW,NOW
NBL,NBL
NTH,NTH
NOR,NOR
NYK,NYK
NWL,NWL
NWA,NWA
NTY,NTY
NSM,NSM
NTCA,NTCA
NNT,
NNO,NNO
NLN,NLN
NLK,NLK
NKE,NKE
NHE,NHE
NEL,NEL
NED,NED
NECA,NECA
NIR-W,NIR-W
NDO,NDO
NDE,NDE
NAY,NAY
NFK,NFK
NIR-U,NIR-U
NMD,NMD
NIR-P,NIR-P
NWP,NWP
NEC,NEC
NET,NET
NEA,NEA
NEW,NEW
NTL,NTL
NIR-E,NIR-E
MON,MON
MOL,MOL
MIK,MIK
MLN,MLN
MDB,MDB
MUL,MUL
MSS,MSS
MSU,MSU
MDE,MDE
MEA,MEA
MTY,MTY
MEN,MEN
MEL,MEL
MDW,MDW
MAS,MAS
MAN,MAN
MAV,MAV
MAL,MAL
MAI,MAI
NIR-H,NIR-H
LUT,LUT
WND,NECA
WFT,WFT
TWH,TWH
STN,STN
SWK,SWK
RIC,RIC
RDB,RDB
NWM,NWM
MRT,MRT
LEW,LEW
LBH,LBH
ISL,ISL
HNS,HNS
HIL,HIL
HAV,HAV
HRW,HRW
HRY,HRY
HMF,HMF
HCK,HCK
ENF,ENF
EAL,EAL
CRY,CRY
CMD,CMD
BRY,BRY
BEN,BEN
BEX,BEX
BNE,BNE
BDG,BDG
LCR,LCR
LIV,LIV
NIR-S,NIR-S
LBC,LBC
LIN,LIN
NIR-B,NIR-B
LIF,LIF
LEE,LEE
LEC,LEC
LCE,LCE
LDS,LDS
NIR-F,NIR-F
LAC,LAC
LAN,LAN
KWL,KWL
KIR,KIR
KET,KET
KEN,KEN
IOW,IOW
AGY,AGY
IPS,IPS
IVC,IVC
HYN,HYN
HUN,HUN
KHL,KHL
HOR,HOR
HIN,HIN
HIG,HIG
HER,HER
HRT,HRT
HEF,HEF
HAA,HAA
HAS,HAS
HPL,HPL
HAT,HAT
HAG,HAG
HAR,HAR
HAO,HAO
HAM,HAM
HAE,HAE
HAL,HAL
GWN,GWN
GRT,GRT
GMCA,GMCA
GLA,GLA
GRY,GRY
GRA,GRA
GOS,GOS
GLS,GLS
GLO,GLO
GLG,GLG
GED,GED
GAT,GAT
FYL,FYL
FOE,FOE
FOR,FOR
SHE,SHE
FLN,FLN
FIF,FIF
NIR-L,NIR-L
FMO,FMO
FEN,FEN
FAR,FAR
FAL,FAL
EXE,EXE
ESS,ESS
ERE,ERE
EPS,EPS
EPP,EPP
ELM,ELM
EDN,EDN
EAT,EAT
EAS,EAS
ESX,ESX
ESK,ESK
EST,EST
ERY,ERY
ERW,ERW
ENO,ENO
ELN,ELN
ELI,ELI
EHE,EHE
EHA,EHA
EDU,EDU
EDO,EDO
EDE,EDE
ECA,ECA
EAY,EAY
DUR,DUR
NIR-M,NIR-M
DND,DND
DGY,DGY
DUD,DUD
NIR-R,NIR-R
DOV,DOV
DOR,DOR
DST,DST
DNC,DNC
DEV,DEV
NIR-A,NIR-A
DRS,DRS
DEB,DEB
DBY,DBY
DER,DER
DEN,DEN
DAV,DAV
DAR,DAR
DAL,DAL
DAC,DAC
CMA,CMA
CRW,CRW
CRA,CRA
NIR-N,NIR-N
COV,COV
IOS,IOS
COT,COT
CON,CON
COR,COR
COP,COP
NIR-I,NIR-I
CWY,CWY
ELS,ELS
NIR-C,NIR-C
COL,COL
CLK,CLK
YOR,YOR
WLV,WLV
WSM,WSM
LND,LND
LIC,LIC
EDH,EDH
CRF,CRF
BRD,BRD
SWA,SWA
CHC,CHC
CHO,CHO
CHN,CHN
CHI,CHI
CHS,CHS
CHW,CHW
CHE,CHE
CHR,CHR
CHT,CHT
CHL,CHL
CHA,CHA
CGN,CGN
CBF,CBF
CCG,CCG
NIR-Y,NIR-Y
CAS,CAS
NIR-V,NIR-V
CMN,CMN
CAR,CAR
