local-authority-code,old-ons-la-code
WYE,47UG
WYR,30UQ
WYO,11UF
WYC,47UF
WRX,
WOT,45UH
WOR,885
WOC,47UE
WOK,872
WOI,43UM
WRL,344
WIN,24UP
WIL,865
WGN,359
WEY,19UJ
WYCA,
WSX,938
WSK,
WSO,40UF
WOX,38UF
WECA,
WNT,
WMCA,
WLN,
WLI,32UH
WLA,30UP
WDU,
WDO,19UH
WDE,18UL
WBK,869
WEW,26UL
WEL,34UH
WEA,21UH
WAE,43UL
WAV,42UH
WAT,26UK
WAR,937
WAW,44UF
WRT,877
WLL,335
WKF,384
VAL,38UE
VGL,
UTT,22UQ
TUN,29UQ
TRF,358
TOR,18UK
TOF,
TOB,880
TON,29UP
THR,883
THE,26UJ
MRY,
HLD,
THA,29UN
TEW,23UG
TES,24UN
TEN,22UN
TFW,894
TEI,18UH
TVCA,
TAU,40UE
TAN,43UK
TAW,41UK
TAM,357
SWD,866
SWL,29UM
SUR,43UJ
SRY,936
SND,394
SFK,935
SUF,42UG
STO,23UF
STR,44UE
NIR-J,
STE,861
STT,808
SKP,356
STG,
STV,26UH
STF,41UH
STS,860
STA,41UG
SHN,342
SED,42UF
SAL,26UG
SPE,43UH
SOS,882
STH,852
STY,393
SST,41UF
SSO,40UD
SRI,30UN
SOX,38UD
SNR,34UG
SNO,33UH
SLK,
SLA,16UG
SKE,32UG
SHO,32UF
SHA,18UG
SGC,803
SDE,17UK
SCA,12UG
SBU,11UE
SAY,
SWT,
SOM,933
SOL,334
SLG,871
SHR,893
ZET,
SCR,
SHF,373
SEV,29UK
SEL,36UH
SFT,343
SEG,40UC
SCB,
SCE,36UG
SAW,333
SLF,355
RYE,36UF
RUT,857
RUH,24UL
RUS,37UJ
RUN,43UG
RUG,44UD
WNM,868
KTT,314
KEC,207
GRE,203
ROT,372
ROH,21UG
ROS,30UM
ROC,22UL
RCH,354
RIH,36UE
RIB,30UL
RCT,
RFW,
REI,43UF
RED,47UD
RCC,807
RDG,870
PUR,19UG
PRE,30UK
POW,
POR,851
PLY,879
PTE,874
PKN,
PEN,30UJ
PEM,
OXF,931
OXO,38UC
ORK,
NIR-K,
OLD,353
OAD,31UJ
NUN,44UC
NTT,891
NGM,892
NOW,33UG
NBL,929
NTH,928
NOR,34UF
NYK,815
NWL,31UH
NWA,44UB
NTY,392
NSM,802
NTCA,
NNT,
NNO,33UF
NLN,813
NLK,
NKE,32UE
NHE,26UF
NEL,812
NED,17UJ
NECA,
NIR-W,
NDO,19UE
NDE,18UE
NAY,
NFK,926
NIR-U,
NMD,
NIR-P,
NWP,
NEC,41UE
NET,391
NEA,37UG
NEW,24UJ
NTL,
NIR-E,
MON,
MOL,43UE
MIK,826
MLN,
MDB,806
MUL,
MSS,45UG
MSU,42UE
MDE,18UD
MEA,
MTY,
MEN,40UB
MEL,31UG
MDW,887
MAS,37UF
MAN,352
MAV,47UC
MAL,22UK
MAI,29UH
NIR-H,
LUT,821
WND,212
WFT,320
TWH,211
STN,319
SWK,210
RIC,318
RDB,317
NWM,316
MRT,315
LEW,209
LBH,208
ISL,206
HNS,313
HIL,312
HAV,311
HRW,310
HRY,309
HMF,205
HCK,204
ENF,308
EAL,307
CRY,306
CMD,202
BRY,305
BEN,304
BEX,303
BNE,302
BDG,301
LCR,
LIV,341
NIR-S,
LBC,
LIN,925
NIR-B,
LIF,41UD
LEE,21UF
LEC,855
LCE,856
LDS,383
NIR-F,
LAC,30UH
LAN,888
KWL,340
KIR,382
KET,34UE
KEN,886
IOW,921
AGY,
IPS,42UD
IVC,
HYN,30UG
HUN,12UE
KHL,810
HOR,45UF
HIN,31UE
HIG,17UH
HER,26UE
HRT,919
HEF,884
HAA,24UH
HAS,21UD
HPL,805
HAT,24UG
HAG,36UD
HAR,22UJ
HAO,31UD
HAM,850
HAE,36UC
HAL,876
GWN,
GRT,43UD
GMCA,
GLA,H
GRY,33UD
GRA,29UG
GOS,24UF
GLS,916
GLO,23UE
GLG,
GED,37UE
GAT,390
FYL,30UF
FOE,23UD
FOR,42UC
SHE,29UL
FLN,
FIF,
NIR-L,
FMO,
FEN,12UD
FAR,24UE
FAL,
EXE,18UC
ESS,881
ERE,17UG
EPS,43UC
EPP,22UH
ELM,43UB
EDN,16UF
EAT,24UD
EAS,21UC
ESX,845
ESK,
EST,41UC
ERY,811
ERW,
ENO,34UD
ELN,
ELI,32UC
EHE,26UD
EHA,24UC
EDU,
EDO,19UD
EDE,18UB
ECA,12UC
EAY,
DUR,840
NIR-M,
DND,
DGY,
DUD,332
NIR-R,
DOV,29UE
DOR,835
DST,
DNC,371
DEV,878
NIR-A,
DRS,
DEB,17UF
DBY,830
DER,831
DEN,
DAV,34UC
DAR,29UD
DAL,841
DAC,26UC
CMA,909
CRW,45UE
CRA,36UB
NIR-N,
COV,331
IOS,420
COT,23UC
CON,908
COR,34UB
COP,16UE
NIR-I,
CWY,
ELS,
NIR-C,
COL,22UG
CLK,
YOR,816
WLV,336
WSM,213
LND,201
LIC,32UD
EDH,
CRF,
BRD,380
SWA,
CHC,19UC
CHO,30UE
CHN,11UC
CHI,45UD
CHS,17UD
CHW,896
CHE,895
CHR,38UB
CHT,23UB
CHL,22UF
CHA,31UC
CGN,
CBF,823
CCG,
NIR-Y,
CAS,22UE
NIR-V,
CMN,
CAR,16UD
CAT,29UC
CAN,41UB
CAM,873
CPCA,
CAB,12UB
CLD,381
CAY,
BUR,351
BUN,30UD
BKM,825
BUC,
BRT,37UD
BRX,26UB
BRM,47UB
BRO,33UC
BST,801
BNH,846
BGE,
BRW,22UD
BRE,33UB
BRA,22UC
BRC,867
BPC,
BMH,837
BOT,32UB
POL,836
KIN,33UE
BOL,350
BOS,17UC
BGW,
BPL,890
BBD,889
BLA,31UB
BIR,330
BFS,
BDF,822
BAS,800
BAE,37UC
BAN,24UB
BAI,22UB
BAR,16UC
BNS,370
NIR-Q,
NIR-D,
NIR-G,
BAB,42UB
AYL,11UB
ASF,29UB
ASH,37UB
ARU,45UC
ABC,
NIR-O,
AGB,
NIR-X,
AND,
NIR-T,
ANN,
ANS,
AMB,17UB
ALL,16UB
ADU,45UB
ABD,
ABE,
NYE,
