local-authority-type,local-authority-type-name
NMD,Non-metropolitan district
WPA,Welsh unitary authority
CTY,County
UA,Unitary authority
MD,Metropolitan district
COMB,Combined authority
SCO,Scottish unitary authority
NID,NI district
LBO,London borough
SRA,Strategic Regional Authority
CC,City corporation
