local-authority-code,snac
WYE,47UG
WYR,30UQ
WYO,11UF
WYC,47UF
WRX,00NL
WOT,45UH
WOR,47
WOC,47UE
WOK,00MF
WOI,43UM
WRL,00CB
WIN,24UP
WIL,00HY
WGN,00BW
WEY,19UJ
WYCA,
WSX,45
WSK,
WSO,40UF
WOX,38UF
WECA,
WNT,
WMCA,
WLN,00RH
WLI,32UH
WLA,30UP
WDU,00QG
WDO,19UH
WDE,18UL
WBK,00MB
WEW,26UL
WEL,34UH
WEA,21UH
WAE,43UL
WAV,42UH
WAT,26UK
WAR,44
WAW,44UF
WRT,00EU
WLL,00CU
WKF,00DB
VAL,38UE
VGL,00PD
UTT,22UQ
TUN,29UQ
TRF,00BU
TOR,18UK
TOF,00PM
TOB,00HH
TON,29UP
THR,00KG
THE,26UJ
MRY,00QX
HLD,00QT
THA,29UN
TEW,23UG
TES,24UN
TEN,22UN
TFW,00GF
TEI,18UH
TVCA,
TAU,40UE
TAN,43UK
TAW,41UK
TAM,00BT
SWD,00HX
SWL,29UM
SUR,43UJ
SRY,43
SND,00CM
SFK,42
SUF,42UG
STO,23UF
STR,44UE
NIR-J,95J
STE,00GL
STT,00EF
SKP,00BS
STG,00RG
STV,26UH
STF,41UH
STS,41
STA,41UG
SHN,00BZ
SED,42UF
SAL,26UG
SPE,43UH
SOS,00KF
STH,00MS
STY,00CL
SST,41UF
SSO,40UD
SRI,30UN
SOX,38UD
SNR,34UG
SNO,33UH
SLK,00RF
SLA,16UG
SKE,32UG
SHO,32UF
SHA,18UG
SGC,00HD
SDE,17UK
SCA,12UG
SBU,11UE
SAY,00RE
SWT,
SOM,40
SOL,00CT
SLG,00MD
SHR,00GG
ZET,00RD
SCR,
SHF,00CG
SEV,29UK
SEL,36UH
SFT,00CA
SEG,40UC
SCB,00QE
SCE,36UG
SAW,00CS
SLF,00BR
RYE,36UF
RUT,00FP
RUH,24UL
RUS,37UJ
RUN,43UG
RUG,44UD
WNM,00ME
KTT,00AX
KEC,00AW
GRE,00AL
ROT,00CF
ROH,21UG
ROS,30UM
ROC,22UL
RCH,00BQ
RIH,36UE
RIB,30UL
RCT,00PF
RFW,00RC
REI,43UF
RED,47UD
RCC,00EE
RDG,00MC
PUR,19UG
PRE,30UK
POW,00NN
POR,00MR
PLY,00HG
PTE,00JA
PKN,00RB
PEN,30UJ
PEM,00NS
OXF,38
OXO,38UC
ORK,00RA
NIR-K,95K
OLD,00BP
OAD,31UJ
NUN,44UC
NTT,37
NGM,00FY
NOW,33UG
NBL,00EM
NTH,34
NOR,34UF
NYK,36
NWL,31UH
NWA,44UB
NTY,00CK
NSM,00HC
NTCA,
NNT,
NNO,33UF
NLN,00FD
NLK,00QZ
NKE,32UE
NHE,26UF
NEL,00FC
NED,17UJ
NECA,
NIR-W,95W
NDO,19UE
NDE,18UE
NAY,00QY
NFK,33
NIR-U,95U
NMD,
NIR-P,95P
NWP,00PR
NEC,41UE
NET,00CJ
NEA,37UG
NEW,24UJ
NTL,00NZ
NIR-E,95E
MON,00PP
MOL,43UE
MIK,00MG
MLN,00QW
MDB,00EC
MUL,
MSS,45UG
MSU,42UE
MDE,18UD
MEA,
MTY,00PH
MEN,40UB
MEL,31UG
MDW,00LC
MAS,37UF
MAN,00BN
MAV,47UC
MAL,22UK
MAI,29UH
NIR-H,95H
LUT,00KA
WND,00BJ
WFT,00BH
TWH,00BG
STN,00BF
SWK,00BE
RIC,00BD
RDB,00BC
NWM,00BB
MRT,00BA
LEW,00AZ
LBH,00AY
ISL,00AU
HNS,00AT
HIL,00AS
HAV,00AR
HRW,00AQ
HRY,00AP
HMF,00AN
HCK,00AM
ENF,00AK
EAL,00AJ
CRY,00AH
CMD,00AG
BRY,00AF
BEN,00AE
BEX,00AD
BNE,00AC
BDG,00AB
LCR,
LIV,00BY
NIR-S,95S
LBC,
LIN,32
NIR-B,95B
LIF,41UD
LEE,21UF
LEC,31
LCE,00FN
LDS,00DA
NIR-F,95F
LAC,30UH
LAN,30
KWL,00BX
KIR,00CZ
KET,34UE
KEN,29
IOW,00MW
AGY,00NA
IPS,42UD
IVC,00QU
HYN,30UG
HUN,12UE
KHL,00FA
HOR,45UF
HIN,31UE
HIG,17UH
HER,26UE
HRT,26
HEF,00GA
HAA,24UH
HAS,21UD
HPL,00EB
HAT,24UG
HAG,36UD
HAR,22UJ
HAO,31UD
HAM,24
HAE,36UC
HAL,00ET
GWN,00NC
GRT,43UD
GMCA,
GLA,
GRY,33UD
GRA,29UG
GOS,24UF
GLS,23
GLO,23UE
GLG,00QS
GED,37UE
GAT,00CH
FYL,30UF
FOE,23UD
FOR,42UC
SHE,29UL
FLN,00NJ
FIF,00QR
NIR-L,95L
FMO,
FEN,12UD
FAR,24UE
FAL,00QQ
EXE,18UC
ESS,22
ERE,17UG
EPS,43UC
EPP,22UH
ELM,43UB
EDN,16UF
EAT,24UD
EAS,21UC
ESX,21
ESK,
EST,41UC
ERY,00FB
ERW,00QN
ENO,34UD
ELN,00QM
ELI,32UC
EHE,26UD
EHA,24UC
EDU,00QL
EDO,19UD
EDE,18UB
ECA,12UC
EAY,00QK
DUR,00EJ
NIR-M,95M
DND,00QJ
DGY,00QH
DUD,00CR
NIR-R,95R
DOV,29UE
DOR,19
DST,
DNC,00CE
DEV,18
NIR-A,95A
DRS,
DEB,17UF
DBY,17
DER,00FK
DEN,00NG
DAV,34UC
DAR,29UD
DAL,00EH
DAC,26UC
CMA,16
CRW,45UE
CRA,36UB
NIR-N,95N
COV,00CQ
IOS,00HF
COT,23UC
CON,00HE
COR,34UB
COP,16UE
NIR-I,95I
CWY,00NE
ELS,00RJ
NIR-C,95C
COL,22UG
CLK,00QF
YOR,00FF
WLV,00CW
WSM,00BK
LND,00AA
LIC,32UD
EDH,00QP
CRF,00PT
BRD,00CX
SWA,00NX
CHC,19UC
CHO,30UE
CHN,11UC
CHI,45UD
CHS,17UD
CHW,00EW
CHE,00EQ
CHR,38UB
CHT,23UB
CHL,22UF
CHA,31UC
CGN,00NQ
CBF,00KC
CCG,
NIR-Y,95Y
CAS,22UE
NIR-V,95V
CMN,00NU
CAR,16UD
CAT,29UC
CAN,41UB
CAM,12
CPCA,
CAB,12UB
CLD,00CY
CAY,00PK
BUR,00BM
BUN,30UD
BKM,11
BUC,
BRT,37UD
BRX,26UB
BRM,47UB
BRO,33UC
BST,00HB
BNH,00ML
BGE,00PB
BRW,22UD
BRE,33UB
BRA,22UC
BRC,00MA
BPC,
BMH,00HN
BOT,32UB
POL,00HP
KIN,33UE
BOL,00BL
BOS,17UC
BGW,00PL
BPL,00EY
BBD,00EX
BLA,31UB
BIR,00CN
BFS,95Z
BDF,00KB
BAS,00HA
BAE,37UC
BAN,24UB
BAI,22UB
BAR,16UC
BNS,00CC
NIR-Q,95Q
NIR-D,95D
NIR-G,95G
BAB,42UB
AYL,11UB
ASF,29UB
ASH,37UB
ARU,45UC
ABC,
NIR-O,95O
AGB,00QD
NIR-X,95X
AND,
NIR-T,95T
ANN,
ANS,00QC
AMB,17UB
ALL,16UB
ADU,45UB
ABD,00QB
ABE,00QA
CBD,
WAF,
