local-authority-code,open-council-data-id
WYE,226.0
WYR,164.0
WYO,163.0
WYC,162.0
WRX,403.0
WOT,225.0
WOR,27.0
WOC,224.0
WOK,381.0
WOI,223.0
WRL,293.0
WIN,222.0
WIL,362.0
WGN,292.0
WEY,221.0
WYCA,
WSX,26.0
WSK,410.0
WSO,161.0
WOX,220.0
WECA,
WNT,
WMCA,
WLN,326.0
WLI,160.0
WLA,219.0
WDU,325.0
WDO,404.0
WDE,159.0
WBK,361.0
WEW,218.0
WEL,158.0
WEA,157.0
WAE,156.0
WAV,155.0
WAT,217.0
WAR,25.0
WAW,154.0
WRT,360.0
WLL,291.0
WKF,290.0
VAL,153.0
VGL,402.0
UTT,152.0
TUN,216.0
TRF,289.0
TOR,151.0
TOF,401.0
TOB,359.0
TON,150.0
THR,380.0
THE,215.0
MRY,314.0
HLD,311.0
THA,149.0
TEW,148.0
TES,147.0
TEN,146.0
TFW,358.0
TEI,145.0
TVCA,
TAU,144.0
TAN,214.0
TAW,213.0
TAM,288.0
SWD,379.0
SWL,143.0
SUR,142.0
SRY,24.0
SND,287.0
SFK,23.0
SUF,141.0
STO,212.0
STR,140.0
NIR-J,
STE,357.0
STT,356.0
SKP,286.0
STG,324.0
STV,211.0
STF,139.0
STS,22.0
STA,407.0
SHN,285.0
SED,138.0
SAL,210.0
SPE,137.0
SOS,378.0
STH,377.0
STY,284.0
SST,136.0
SSO,135.0
SRI,134.0
SOX,133.0
SNR,132.0
SNO,131.0
SLK,323.0
SLA,130.0
SKE,129.0
SHO,128.0
SHA,127.0
SGC,355.0
SDE,126.0
SCA,125.0
SBU,124.0
SAY,322.0
SWT,411.0
SOM,21.0
SOL,283.0
SLG,376.0
SHR,354.0
ZET,321.0
SCR,
SHF,282.0
SEV,122.0
SEL,121.0
SFT,281.0
SEG,120.0
SCB,320.0
SCE,119.0
SAW,280.0
SLF,279.0
RYE,118.0
RUT,353.0
RUH,209.0
RUS,117.0
RUN,208.0
RUG,207.0
WNM,363.0
KTT,246.0
KEC,245.0
GRE,236.0
ROT,278.0
ROH,116.0
ROS,206.0
ROC,205.0
RCH,277.0
RIH,115.0
RIB,114.0
RCT,399.0
RFW,319.0
REI,204.0
RED,203.0
RCC,352.0
RDG,375.0
PUR,113.0
PRE,202.0
POW,398.0
POR,374.0
PLY,373.0
PTE,372.0
PKN,318.0
PEN,201.0
PEM,397.0
OXF,20.0
OXO,169.0
ORK,317.0
NIR-K,
OLD,276.0
OAD,112.0
NUN,168.0
NTT,19.0
NGM,350.0
NOW,200.0
NBL,349.0
NTH,18.0
NOR,111.0
NYK,17.0
NWL,110.0
NWA,109.0
NTY,275.0
NSM,348.0
NTCA,
NNT,
NNO,108.0
NLN,347.0
NLK,316.0
NKE,107.0
NHE,199.0
NEL,371.0
NED,106.0
NECA,
NIR-W,
NDO,105.0
NDE,104.0
NAY,315.0
NFK,16.0
NIR-U,
NMD,1010.0
NIR-P,
NWP,396.0
NEC,103.0
NET,263.0
NEA,102.0
NEW,101.0
NTL,395.0
NIR-E,
MON,394.0
MOL,198.0
MIK,370.0
MLN,313.0
MDB,346.0
MUL,1009.0
MSS,100.0
MSU,99.0
MDE,98.0
MEA,1008.0
MTY,393.0
MEN,97.0
MEL,96.0
MDW,345.0
MAS,95.0
MAN,262.0
MAV,94.0
MAL,93.0
MAI,197.0
NIR-H,
LUT,344.0
WND,257.0
WFT,256.0
TWH,255.0
STN,254.0
SWK,253.0
RIC,252.0
RDB,251.0
NWM,250.0
MRT,249.0
LEW,248.0
LBH,247.0
ISL,244.0
HNS,243.0
HIL,242.0
HAV,241.0
HRW,240.0
HRY,239.0
HMF,238.0
HCK,237.0
ENF,235.0
EAL,234.0
CRY,233.0
CMD,232.0
BRY,231.0
BEN,230.0
BEX,229.0
BNE,228.0
BDG,227.0
LCR,
LIV,274.0
NIR-S,
LBC,1007.0
LIN,15.0
NIR-B,
LIF,92.0
LEE,91.0
LEC,14.0
LCE,343.0
LDS,261.0
NIR-F,
LAC,90.0
LAN,13.0
KWL,273.0
KIR,272.0
KET,88.0
KEN,12.0
IOW,342.0
AGY,392.0
IPS,195.0
IVC,312.0
HYN,194.0
HUN,87.0
KHL,341.0
HOR,86.0
HIN,85.0
HIG,84.0
HER,83.0
HRT,11.0
HEF,340.0
HAA,193.0
HAS,82.0
HPL,369.0
HAT,192.0
HAG,81.0
HAR,191.0
HAO,80.0
HAM,10.0
HAE,79.0
HAL,368.0
GWN,391.0
GRT,78.0
GMCA,
GLA,
GRY,190.0
GRA,77.0
GOS,167.0
GLS,9.0
GLO,76.0
GLG,310.0
GED,75.0
GAT,271.0
FYL,74.0
FOE,73.0
FOR,72.0
SHE,123.0
FLN,390.0
FIF,309.0
NIR-L,
FMO,1006.0
FEN,71.0
FAR,189.0
FAL,308.0
EXE,188.0
ESS,8.0
ERE,70.0
EPS,69.0
EPP,187.0
ELM,186.0
EDN,68.0
EAT,67.0
EAS,66.0
ESX,7.0
ESK,412.0
EST,65.0
ERY,339.0
ERW,305.0
ENO,64.0
ELN,304.0
ELI,63.0
EHE,62.0
EHA,61.0
EDU,303.0
EDO,60.0
EDE,59.0
ECA,58.0
EAY,302.0
DUR,338.0
NIR-M,
DND,301.0
DGY,300.0
DUD,270.0
NIR-R,
DOV,57.0
DOR,6.0
DST,
DNC,260.0
DEV,5.0
NIR-A,
DRS,1005.0
DEB,56.0
DBY,4.0
DER,367.0
DEN,389.0
DAV,185.0
DAR,55.0
DAL,337.0
DAC,54.0
CMA,3.0
CRW,184.0
CRA,183.0
NIR-N,
COV,269.0
IOS,405.0
COT,53.0
CON,336.0
COR,52.0
COP,51.0
NIR-I,
CWY,388.0
ELS,307.0
NIR-C,
COL,182.0
CLK,299.0
YOR,364.0
WLV,294.0
WSM,258.0
LND,406.0
LIC,196.0
EDH,306.0
CRF,385.0
BRD,266.0
SWA,400.0
CHC,50.0
CHO,181.0
CHN,49.0
CHI,48.0
CHS,47.0
CHW,335.0
CHE,334.0
CHR,180.0
CHT,166.0
CHL,46.0
CHA,45.0
CGN,387.0
CBF,333.0
CCG,1004.0
NIR-Y,
CAS,179.0
NIR-V,
CMN,386.0
CAR,178.0
CAT,44.0
CAN,177.0
CAM,2.0
CPCA,
CAB,176.0
CLD,268.0
CAY,384.0
BUR,267.0
BUN,175.0
BKM,1.0
BUC,
BRT,43.0
BRX,174.0
BRM,42.0
BRO,41.0
BST,366.0
BNH,332.0
BGE,383.0
BRW,173.0
BRE,40.0
BRA,39.0
BRC,331.0
BPC,
BMH,330.0
BOT,38.0
POL,351.0
KIN,89.0
BOL,265.0
BOS,37.0
BGW,382.0
BPL,329.0
BBD,365.0
BLA,36.0
BIR,259.0
BFS,1003.0
BDF,328.0
BAS,327.0
BAE,35.0
BAN,172.0
BAI,171.0
BAR,34.0
BNS,264.0
NIR-Q,
NIR-D,
NIR-G,
BAB,33.0
AYL,32.0
ASF,31.0
ASH,30.0
ARU,29.0
ABC,1002.0
NIR-O,
AGB,298.0
NIR-X,
