local-authority-code,wdtk-id
WYE,448.0
WYR,447.0
WYO,446.0
WYC,445.0
WRX,444.0
WOT,443.0
WOR,442.0
WOC,649.0
WOK,441.0
WOI,440.0
WRL,439.0
WIN,437.0
WIL,436.0
WGN,435.0
WEY,434.0
WYCA,52339
WSX,431.0
WSK,91366.0
WSO,647.0
WOX,646.0
WECA,88002.0
WNT,
WMCA,64997.0
WLN,430.0
WLI,645.0
WLA,429.0
WDU,428.0
WDO,427.0
WDE,426.0
WBK,425.0
WEW,424.0
WEL,423.0
WEA,421.0
WAE,420.0
WAV,419.0
WAT,418.0
WAR,417.0
WAW,644.0
WRT,416.0
WLL,413.0
WKF,412.0
VAL,411.0
VGL,410.0
UTT,409.0
TUN,407.0
TRF,406.0
TOR,642.0
TOF,404.0
TOB,403.0
TON,402.0
THR,401.0
THE,400.0
MRY,269.0
HLD,613.0
THA,399.0
TEW,398.0
TES,397.0
TEN,396.0
TFW,395.0
TEI,394.0
TVCA,87984.0
TAU,392.0
TAN,391.0
TAW,390.0
TAM,641.0
SWD,389.0
SWL,387.0
SUR,385.0
SRY,384.0
SND,383.0
SFK,382.0
SUF,381.0
STO,380.0
STR,379.0
NIR-J,
STE,377.0
STT,376.0
SKP,375.0
STG,374.0
STV,373.0
STF,372.0
STS,371.0
STA,370.0
SHN,369.0
SED,368.0
SAL,367.0
SPE,366.0
SOS,364.0
STH,363.0
STY,362.0
SST,361.0
SSO,360.0
SRI,358.0
SOX,357.0
SNR,356.0
SNO,355.0
SLK,354.0
SLA,353.0
SKE,638.0
SHO,352.0
SHA,351.0
SGC,350.0
SDE,349.0
SCA,348.0
SBU,347.0
SAY,345.0
SWT,91531.0
SOM,344.0
SOL,343.0
SLG,342.0
SHR,341.0
ZET,339.0
SCR,52350.0
SHF,337.0
SEV,336.0
SEL,335.0
SFT,637.0
SEG,334.0
SCB,636.0
SCE,332.0
SAW,331.0
SLF,330.0
RYE,329.0
RUT,328.0
RUH,327.0
RUS,326.0
RUN,634.0
RUG,325.0
WNM,438.0
KTT,233.0
KEC,227.0
GRE,203.0
ROT,324.0
ROH,323.0
ROS,322.0
ROC,633.0
RCH,321.0
RIH,320.0
RIB,318.0
RCT,317.0
RFW,315.0
REI,314.0
RED,313.0
RCC,312.0
RDG,310.0
PUR,309.0
PRE,308.0
POW,307.0
POR,306.0
PLY,304.0
PTE,303.0
PKN,302.0
PEN,300.0
PEM,299.0
OXF,28.0
OXO,298.0
ORK,296.0
NIR-K,
OLD,295.0
OAD,631.0
NUN,1602.0
NTT,630.0
NGM,294.0
NOW,293.0
NBL,292.0
NTH,291.0
NOR,629.0
NYK,290.0
NWL,288.0
NWA,287.0
NTY,286.0
NSM,285.0
NTCA,91532
NNT,
NNO,283.0
NLN,282.0
NLK,281.0
NKE,280.0
NHE,628.0
NEL,627.0
NED,626.0
NECA,52428
NIR-W,
NDO,279.0
NDE,278.0
NAY,624.0
NFK,276.0
NIR-U,
NMD,54913.0
NIR-P,
NWP,274.0
NEC,622.0
NET,272.0
NEA,271.0
NEW,270.0
NTL,621.0
NIR-E,
MON,268.0
MOL,267.0
MIK,266.0
MLN,265.0
MDB,264.0
MUL,54912.0
MSS,263.0
MSU,262.0
MDE,261.0
MEA,54911.0
MTY,258.0
MEN,257.0
MEL,256.0
MDW,255.0
MAS,254.0
MAN,253.0
MAV,252.0
MAL,251.0
MAI,250.0
NIR-H,
LUT,247.0
WND,415.0
WFT,414.0
TWH,405.0
STN,386.0
SWK,365.0
RIC,319.0
RDB,311.0
NWM,273.0
MRT,259.0
LEW,243.0
LBH,236.0
ISL,225.0
HNS,1585.0
HIL,218.0
HAV,611.0
HRW,609.0
HRY,211.0
HMF,208.0
HCK,206.0
ENF,1604.0
EAL,166.0
CRY,146.0
CMD,103.0
BRY,92.0
BEN,85.0
BEX,70.0
BNE,59.0
BDG,58.0
LCR,52349.0
LIV,3.0
NIR-S,
LBC,54910.0
LIN,246.0
NIR-B,
LIF,244.0
LEE,242.0
LEC,241.0
LCE,240.0
LDS,239.0
NIR-F,
LAC,238.0
LAN,237.0
KWL,235.0
KIR,234.0
KET,230.0
KEN,228.0
IOW,223.0
AGY,222.0
IPS,221.0
IVC,616.0
HYN,220.0
HUN,615.0
KHL,232.0
HOR,219.0
HIN,614.0
HIG,217.0
HER,216.0
HRT,215.0
HEF,612.0
HAA,610.0
HAS,214.0
HPL,213.0
HAT,212.0
HAG,589.0
HAR,608.0
HAO,210.0
HAM,209.0
HAE,207.0
HAL,607.0
GWN,205.0
GRT,204.0
GMCA,8211.0
GLA,606.0
GRY,202.0
GRA,201.0
GOS,200.0
GLS,199.0
GLO,198.0
GLG,197.0
GED,196.0
GAT,195.0
FYL,194.0
FOE,605.0
FOR,604.0
SHE,338.0
FLN,193.0
FIF,603.0
NIR-L,
FMO,54909.0
FEN,192.0
FAR,601.0
FAL,191.0
EXE,190.0
ESS,189.0
ERE,188.0
EPS,187.0
EPP,186.0
ELM,600.0
EDN,184.0
EAT,183.0
EAS,182.0
ESX,181.0
ESK,91370.0
EST,180.0
ERY,179.0
ERW,178.0
ENO,177.0
ELN,176.0
ELI,175.0
EHE,174.0
EHA,173.0
EDU,172.0
EDO,171.0
EDE,170.0
ECA,169.0
EAY,168.0
DUR,165.0
NIR-M,
DND,163.0
DGY,162.0
DUD,161.0
NIR-R,
DOV,160.0
DOR,159.0
DST,91365.0
DNC,158.0
DEV,157.0
NIR-A,
DRS,54908.0
DEB,155.0
DBY,154.0
DER,153.0
DEN,152.0
DAV,151.0
DAR,150.0
DAL,149.0
DAC,148.0
CMA,147.0
CRW,144.0
CRA,143.0
NIR-N,
COV,141.0
IOS,224.0
COT,140.0
CON,139.0
COR,138.0
COP,137.0
NIR-I,
CWY,135.0
ELS,133.0
NIR-C,
COL,131.0
CLK,130.0
YOR,129.0
WLV,648.0
WSM,433.0
LND,128.0
LIC,245.0
EDH,185.0
CRF,107.0
BRD,82.0
SWA,388.0
CHC,127.0
CHO,126.0
CHN,125.0
CHI,124.0
CHS,123.0
CHW,4306.0
CHE,4305.0
CHR,119.0
CHT,118.0
CHL,117.0
CHA,116.0
CGN,115.0
CBF,4311.0
CCG,54907.0
NIR-Y,
CAS,113.0
NIR-V,
CMN,109.0
CAR,108.0
CAT,105.0
CAN,104.0
CAM,102.0
CPCA,64630.0
CAB,101.0
CLD,100.0
CAY,99.0
BUR,98.0
BUN,97.0
BKM,96.0
BUC,96.0
BRT,95.0
BRX,94.0
BRM,93.0
BRO,91.0
BST,90.0
BNH,89.0
BGE,87.0
BRW,86.0
BRE,84.0
BRA,83.0
BRC,81.0
BPC,91513.0
BMH,80.0
BOT,79.0
POL,305.0
KIN,231.0
BOL,78.0
BOS,77.0
BGW,75.0
BPL,74.0
BBD,73.0
BLA,72.0
BIR,71.0
BFS,68.0
BDF,66.0
BAS,65.0
BAE,64.0
BAN,63.0
BAI,62.0
BAR,61.0
BNS,60.0
NIR-Q,
NIR-D,
NIR-G,
BAB,54.0
AYL,53.0
ASF,52.0
ASH,51.0
ARU,50.0
ABC,54906.0
NIR-O,
AGB,48.0
NIR-X,
AND,54914.0
NIR-T,
ANN,54905.0
ANS,45.0
AMB,44.0
ALL,42.0
ADU,41.0
ABD,40.0
ABE,39.0
CBD,
WAF,
